token_id,text_id,text_name,column,sequence_id,position_in_column,segment_id,position_in_segment,sign_token,ms_number,is_boundary_MS20,is_eroded
1,CD,Chiapa de Corzo,BO,CD_BO,1,CD_BO_seg001,1,MS124,124.0,0,0
2,CD,Chiapa de Corzo,BO,CD_BO,2,CD_BO_seg001,2,MS20,20.0,1,0
3,CD,Chiapa de Corzo,BO,CD_BO,3,CD_BO_seg002,1,ERODED_0.01,,0,1
4,CD,Chiapa de Corzo,BO,CD_BO,4,CD_BO_seg002,2,ERODED_0.02,,0,1
5,CD,Chiapa de Corzo,CO,CD_CO,1,CD_CO_seg001,1,ERODED_0.04,,0,1
6,CM,Ceramic Mask,A,CM_A,1,CM_A_seg001,1,ERODED_0.05,,0,1
7,CM,Ceramic Mask,A,CM_A,2,CM_A_seg001,2,ERODED_0.06,,0,1
8,CM,Ceramic Mask,A,CM_A,3,CM_A_seg001,3,ERODED_0.07,,0,1
9,CM,Ceramic Mask,BO,CM_BO,1,CM_BO_seg001,1,ERODED_0.08,,0,1
10,CM,Ceramic Mask,BO,CM_BO,2,CM_BO_seg001,2,ERODED_0.09,,0,1
11,CM,Ceramic Mask,BO,CM_BO,3,CM_BO_seg001,3,MS1,1.0,0,0
12,CM,Ceramic Mask,BO,CM_BO,4,CM_BO_seg001,4,ERODED_0.11,,0,1
13,CM,Ceramic Mask,C,CM_C,1,CM_C_seg001,1,MS150,150.0,0,0
14,CM,Ceramic Mask,CO,CM_CO,1,CM_CO_seg001,1,MS164,164.0,0,0
15,CM,Ceramic Mask,CO,CM_CO,2,CM_CO_seg001,2,MS7,7.0,0,0
16,CM,Ceramic Mask,CO,CM_CO,3,CM_CO_seg001,3,MS44,44.0,0,0
17,CM,Ceramic Mask,DO,CM_DO,1,CM_DO_seg001,1,ERODED_0.12,,0,1
18,CM,Ceramic Mask,DO,CM_DO,2,CM_DO_seg001,2,ERODED_0.13,,0,1
19,CM,Ceramic Mask,DO,CM_DO,3,CM_DO_seg001,3,MS149,149.0,0,0
20,CM,Ceramic Mask,E,CM_E,1,CM_E_seg001,1,MS169,169.0,0,0
21,CM,Ceramic Mask,E,CM_E,2,CM_E_seg001,2,ERODED_0.16,,0,1
22,CM,Ceramic Mask,FO,CM_FO,1,CM_FO_seg001,1,MS169,169.0,0,0
23,CM,Ceramic Mask,FO,CM_FO,2,CM_FO_seg001,2,ERODED_0.17,,0,1
24,CM,Ceramic Mask,G,CM_G,1,CM_G_seg001,1,MS56,56.0,0,0
25,CM,Ceramic Mask,G,CM_G,2,CM_G_seg001,2,ERODED_0.19,,0,1
26,CM,Ceramic Mask,GO,CM_GO,1,CM_GO_seg001,1,ERODED_0.18,,0,1
27,CM,Ceramic Mask,MD,CM_MD,1,CM_MD_seg001,1,ERODED_0.14,,0,1
28,CM,Ceramic Mask,TO,CM_TO,1,CM_TO_seg001,1,ERODED_0.15,,0,1
29,FM,Feldspar Mask,,FM_misc,1,FM_misc_seg001,1,MS87,87.0,0,0
30,FM,Feldspar Mask,,FM_misc,2,FM_misc_seg001,2,MS219,219.0,0,0
31,FM,Feldspar Mask,,FM_misc,3,FM_misc_seg001,3,MS39,39.0,0,0
32,FM,Feldspar Mask,,FM_misc,4,FM_misc_seg001,4,MS79,79.0,0,0
33,FM,Feldspar Mask,A,FM_A,1,FM_A_seg001,1,MS208,208.0,0,0
34,FM,Feldspar Mask,A,FM_A,2,FM_A_seg001,2,MS13,13.0,0,0
35,FM,Feldspar Mask,A,FM_A,3,FM_A_seg001,3,MS210,210.0,0,0
36,FM,Feldspar Mask,AO,FM_AO,1,FM_AO_seg001,1,MS169,169.0,0,0
37,FM,Feldspar Mask,AO,FM_AO,2,FM_AO_seg001,2,MS201,201.0,0,0
38,FM,Feldspar Mask,AO,FM_AO,3,FM_AO_seg001,3,MS214,214.0,0,0
39,FM,Feldspar Mask,AO,FM_AO,4,FM_AO_seg001,4,MS2,2.0,0,0
40,FM,Feldspar Mask,AO,FM_AO,5,FM_AO_seg001,5,MS63,63.0,0,0
41,FM,Feldspar Mask,AO,FM_AO,6,FM_AO_seg001,6,MS88,88.0,0,0
